
---- Journal Bearing Problem SHB-----
mx: 50,  my: 50,  ecc: 0.1 

Value of Tao are gatol = 1.000000e-08, grtol =  1.000000e-08, gttol = 0.000000e+00  
  0 MPGP ||gp||=1.2198589204e-01,	||phi||=0.0000000000e+00,	||beta||=1.2198589204e-01
  1 MPGP ||gp||=1.7073836064e-01,	||phi||=1.5211045171e-01,	||beta||=7.7549972766e-02
  2 MPGP ||gp||=2.6236717723e-01,	||phi||=1.8724684511e-01,	||beta||=1.8378018034e-01
  3 MPGP ||gp||=2.1940594572e-01,	||phi||=1.2703574193e-01,	||beta||=1.7888792383e-01
  4 MPGP ||gp||=1.6020208005e-01,	||phi||=1.3692153977e-01,	||beta||=8.3169696398e-02
  5 MPGP ||gp||=1.1457073263e-01,	||phi||=7.8796607930e-02,	||beta||=8.3171794218e-02
  6 MPGP ||gp||=1.0357864553e-01,	||phi||=9.8719194427e-02,	||beta||=3.1353731223e-02
  7 MPGP ||gp||=1.0968532690e-01,	||phi||=1.0510700748e-01,	||beta||=3.1359016511e-02
  8 MPGP ||gp||=1.7158885958e-01,	||phi||=1.2212104196e-01,	||beta||=1.2053708077e-01
  9 MPGP ||gp||=1.9050335722e-01,	||phi||=1.1763204318e-01,	||beta||=1.4984736076e-01
 10 MPGP ||gp||=1.1884111832e-01,	||phi||=1.0189857971e-01,	||beta||=6.1154647060e-02
 11 MPGP ||gp||=9.6479589064e-02,	||phi||=7.4620646121e-02,	||beta||=6.1156113990e-02
 12 MPGP ||gp||=1.0603997161e-01,	||phi||=8.0197789871e-02,	||beta||=6.9374275344e-02
 13 MPGP ||gp||=1.1503590745e-01,	||phi||=7.9047163954e-02,	||beta||=8.3575151053e-02
 14 MPGP ||gp||=8.5945075168e-02,	||phi||=8.2366343448e-02,	||beta||=2.4542644776e-02
 15 MPGP ||gp||=7.1732795393e-02,	||phi||=6.7403503869e-02,	||beta||=2.4543056067e-02
